#fields	hash	name
d54a0979516e607a1166e6efd157301c	Chrome_(Possible_41.x)	T
ac67a2d0e3bd59459c32c996b5985979	Chrome_(Tested:_47.0.2526.XX_&_48.XX_(64-bit))_#1	T
34dfce2bb848da7c5dafa4d475f0ba41	Chrome_(Tested:_47.0.2526.XX_&_48.XX_(64-bit))_#2	T
937edefedb6fe13f26d1a425ef1c15a5	Chrome_(Tested:_47.0.2526.XX_&_48.XX_(64-bit))_#3	T
a342d14afad3a448029ec808295ccce9	Chrome_(Tested:_47.0.2526.XX_&_48.XX_(64-bit))_#4	T
71e74faaed87acd177bd3b47a543f476	Chrome_(Tested:_47.0.2526.XX_&_48.XX_(64-bit))_#5	T
1d64ab25ad6f7258581d43077147b9b1	Chrome_(tested:_Version_46.0.2490.86_(64-bit)_-_OS_X)	T
230018e44608686b64907360b6def678	Chrome_(tested:_Version_46.0.2490.86_(64-bit)_-_OS_X)	T
dea05e8c68dfeb28003f21d22efc0aba	Chrome_(tested:_Version_46.0.2490.86_(64-bit)_-_OS_X)	T
62351d5ea3cd4f21f697965b10a9bbbe	Chrome_10	T
a9da823fe77cd3df081644249edbf395	Chrome_11_-_18	T
df4a50323dfcaf1789f72e4946a7be44	Chrome_19_-_20	T
3c8cb61208e191af38b1fbef4eacd502	Chrome_22.0.1201.0	T
1ef061c02d85b7e2654e11a9959096f4	Chrome_24.0.1312.57_-_28.0.1500.72_Safari/537.36	T
89d37026246d4888e78e69af4f8d1147	Chrome_26.0.1410.43-27.0.1453.110_Safari/537.31	T
206ee819879457f7536d2614695a5029	Chrome_29.0.1547.0	T
76d36fc79db002baa1b5e741fcd863bb	Chrome_29.0.1547.62	T
bbc3992faa92affc0d835717ea557e99	Chrome_29.0.1547.62	T
dc3eaee99a9221345698f8a8b2f4fc3f	Chrome_30.0.0.0	T
53c7ed581cbaf36951559878fcec4559	Chrome_30.0.1599.101	T
fb8a6d2441ee9eaee8b560d48a8f59df	Chrome_31.0.1650.57_&_32.0.1700.76_Safari/537.36	T
f7c4dc1d9595c27369a183a5df9f7b52	Chrome_31.0.1650.63	T
16d7ebc398d772ef9969d2ed2a15f4c0	Chrome_33.0.1750.117	T
f3136cf565acf70dd2f98ca652f43780	Chrome_33.0.1750.117	T
af0ae1083ab10ac957e394c2e7ec4634	Chrome_33.0.1750.154	T
4807d61f519249470ebed0b633e707cf	Chrome_34.0.1847.116_&_35.0.1916.114_Safari/537.36	T
ef3364da4d76c98a669cb828f2e5283a	Chrome_34.0.1847.116_&_35.0.1916.114_Safari/537.36	T
5b348680dec77f585cfe82513213ac3a	Chrome_36.0.1985.125_&_37.0.2062.102_Safari/537.36	T
52be6e88840d2211a243d9356550c4a5	Chrome_36.0.1985.125_-_40.0.2214.93_Safari/537.36	T
a167568462b993d5787488ece82a439a	Chrome_37.0.0.0	T
5f775bbfc50459e900d464ca1cecd136	Chrome_37.0.0.0_Safari_&_Mobile_Safari/537.36	T
98652faa7e0a4d85f91e37aa6b8c0135	Chrome_37.0.2062.120	T
8b8322bad90e8bfbd66e664839b7a037	Chrome_41.0.2272.89	T
aa9074aa1ff31c65d01c35b9764762b6	Chrome_42.0.2311.135	T
de0963bc1f3a0f70096232b272774025	Chrome_42.0.2311.135	T
3bb36ec17fef5d3da04ceeb6287314c6	Chrome_43.0.2357.132_&_45.02454.94	T
cd3f72760dfd5575b91213a8016c596b	Chrome_48.0.2564.116	T
5406c4a87aa6cbcb7fc469fee526a206	Chrome_48.0.2564.97	T
